"","logFC","logCPM","F","PValue","FDR"
"NOVA1-AS1",1.68871219120327,2.64346090077856,125.96653575861,7.92692471004003e-09,2.13525294445643e-06
"KIAA2012",2.96673067514171,1.65105275012245,126.046757877966,7.94819845319369e-09,2.13525294445643e-06
"IGDCC3",-1.42879135819757,3.17140192206495,125.573546334938,8.09845381264183e-09,2.14265455267199e-06
"INADL",-1.18357187108889,4.37628601243313,124.306932655113,8.68557904100093e-09,2.26369524199938e-06
"SSTR2",-1.13349202387805,5.90400796754894,122.177310519319,9.78621843434434e-09,2.50354006180743e-06
"KIAA0040",-1.15534019934276,5.44753667487647,121.915563354966,9.93213192721467e-09,2.50354006180743e-06
"PPP1R17",-1.46730607771753,4.03513144140732,121.553457897236,1.01386837936719e-08,2.50354006180743e-06
"KIRREL",1.49606685058666,4.420154305285,121.482720740856,1.01793233528993e-08,2.50354006180743e-06
"IGSF22",-1.73070251742901,2.66382548260733,118.983052111466,1.17507464483156e-08,2.84988242334009e-06
"UNC5B",1.91501851706179,2.77782105762941,118.346814275421,1.21925240738311e-08,2.90610627374002e-06
"LZTS2",1.15648127314022,5.65109816115388,118.167532729509,1.23154200124133e-08,2.90610627374002e-06
"SERPINE2",1.98573551084505,3.28738504744555,116.245204426381,1.37873357993278e-08,3.21005943637149e-06
"ELSPBP1",2.23120768998171,1.69684444568108,114.50199012663,1.53235132274413e-08,3.47602422985973e-06
"MYL4",-1.06586010428442,5.93272891397517,114.460131055285,1.53277898121177e-08,3.47602422985973e-06
"SEPT4",-1.19483675468086,7.79569140170601,114.216383854654,1.55532915604543e-08,3.48194329780325e-06
"REEP6",-1.13426322631612,4.50259861708192,113.416266190399,1.63207361238829e-08,3.60750245816765e-06
"ALDOC",-1.03792552430352,5.24461278324615,108.839291036539,2.16225242896051e-08,4.71965648931355e-06
"AC093642.5",2.23327379438203,2.06616231091003,107.650025334232,2.33313936501868e-08,5.02978760394522e-06
"APOBEC2",-1.09574606360843,4.50111675897777,106.32173770498,2.53551588861026e-08,5.39941200572101e-06
"CACNA1A",-2.40637615344308,1.3159911904252,105.416009954697,2.70043331825958e-08,5.68132127752395e-06
"RP11-16E12.2",-2.36637536699446,1.48756621223442,104.733310791703,2.81776719081125e-08,5.85760127213644e-06
"CCDC141",1.01994363520788,7.23948850171843,103.698532675848,3.00374831973543e-08,6.17075919520235e-06
"TSPAN9",0.973908593901542,7.60772155187393,103.463235629535,3.05032174464147e-08,6.19357189592201e-06
"INHBB",3.09994120260954,0.713291710731123,103.489926372441,3.17474568494621e-08,6.3711353239671e-06
"TPH1",-1.13922176915743,4.40525758608106,102.584260787117,3.23177013551446e-08,6.3711353239671e-06
"GABRR2",-1.37752501220474,2.97463926288742,102.514346227368,3.24722851811403e-08,6.3711353239671e-06
"VIM",1.4771829622012,6.1518917778107,101.657508251311,3.43617679333243e-08,6.66694657390788e-06
"VTN",-2.07363718228127,1.93335729502819,101.317803254435,3.51888660459038e-08,6.71900121282068e-06
"CDON",0.958262731356395,5.67524116057069,101.210744924111,3.53996169728269e-08,6.71900121282068e-06
"FAM134B",1.7476053556535,2.2712434890183,99.6288145150151,3.93922289542056e-08,7.39642045159502e-06
"TIMP3",-1.41932122529064,3.12070791587309,97.5387322953454,4.54167590862489e-08,8.43688773578806e-06
"MVP",-1.21174404297732,3.60978767964562,97.2316716140284,4.63853446289923e-08,8.52611460959435e-06
"CHL1",-1.00939932894366,4.87959133873947,96.8412381973562,4.76531768858404e-08,8.66791432063067e-06
"RAB26",-1.00028391400015,4.68449682592807,96.1197413421265,5.01071611528776e-08,8.82892601166741e-06
"SKIL",0.932490982683665,6.45865340405299,96.0755554267514,5.02611399569505e-08,8.82892601166741e-06
"BMF",2.50566101730983,1.22548297843215,96.1038010986401,5.05106932249823e-08,8.82892601166741e-06
"CABP7",-1.32216513884767,3.66797069099141,95.9914780344921,5.05607949356741e-08,8.82892601166741e-06
"MIOS",0.921638559449746,6.80250056207857,93.8934578788269,5.86242826751908e-08,1.01356160799424e-05
"MIR7-3HG",1.07386933558996,4.64716337417155,93.498939670832,6.03001841082532e-08,1.03231550480227e-05
"PDGFRA",2.5448480999278,0.936538735809444,93.3199262920742,6.18980979587719e-08,1.04938309374376e-05
"CCL26",-3.44870896926594,0.263147478207289,92.0896666538979,6.60782618120857e-08,1.109479430541e-05
"ABCC5",-0.915087217318134,6.13281196131107,91.8546206835397,6.78835115139159e-08,1.12893512195809e-05
"KCNV2",-1.29851852367924,3.68911774368867,91.673678032094,6.87866278018718e-08,1.13316235346819e-05
"FAT3",-0.982296746244783,4.88216612383134,91.533953399644,6.94854830624529e-08,1.13397710769771e-05
"FRMD3",-1.0166713955152,5.56714342238246,89.813256968955,7.88438544124033e-08,1.27478832013832e-05
"RNF144B",-2.04573077535777,1.44591887098912,89.2430873859589,8.24323463237338e-08,1.31761084098423e-05
"ROBO2",-0.995307054475151,5.3618337116242,89.1214804371644,8.30014846571212e-08,1.31761084098423e-05
"CALB1",1.50400305508984,2.77997119446013,88.2626515600171,8.85328243908418e-08,1.39275691848007e-05
"CHST3",2.23270842398236,1.53602100618862,87.7247398532386,9.24005187113021e-08,1.44062308726496e-05
"CCDC3",-1.22289124157073,3.93421751591079,87.4245324905491,9.42956126758539e-08,1.4571592818989e-05
"ANK1",-1.56797488965297,2.92343679831897,86.8210757032555,9.87363337108024e-08,1.51239812215617e-05
"SNCG",-1.20829305322632,3.80635183190233,86.4842319877837,1.01293786853625e-07,1.5248679656855e-05
"ZFP36L1",1.89506507152279,1.71215741035526,86.4996990187938,1.01296921326032e-07,1.5248679656855e-05
"HEY1",1.1770899632498,6.32084253879538,86.2728397378103,1.02940772985783e-07,1.53499013427163e-05
"VAT1L",-1.13985971483987,4.35292324415632,86.1740649479683,1.03727428613018e-07,1.53499013427163e-05
"AKR1B10",-0.980954792612003,7.23460473041702,85.6905405066414,1.07652989431336e-07,1.5796945390336e-05
"MEST",-1.31033711130159,5.11143126693563,85.0538854832525,1.13086726441905e-07,1.64560034760712e-05
"LTBP1",1.39325355195919,3.81290572576275,84.5664513258376,1.17463132550674e-07,1.69515803355361e-05
"RGAG4",1.71218590643092,2.49978211151164,84.3006367714685,1.1996423503155e-07,1.7170618623942e-05
"SRGAP3",-1.00389200400509,4.06234261468924,83.9005722518266,1.23741781891984e-07,1.75673089056734e-05
"ICA1",-1.32765857356356,2.78647560953853,83.2979967902934,1.29774410482884e-07,1.82751673859042e-05
"C11orf96",-1.16057182161361,4.03812653636575,82.9073119895018,1.33829152784878e-07,1.86953973274363e-05
"SMPX",-2.16720569125697,0.937650327264592,81.4225498416507,1.51608834144249e-07,2.10110592208482e-05
"NOX5",-2.11747853068361,1.71854780156053,81.1599871553194,1.54129161254454e-07,2.1192152864766e-05
"COL16A1",-1.02812321792284,3.78226646639123,80.7701416940338,1.58846195584228e-07,2.16700958382171e-05
"CAV3",-1.38978920511774,2.58578668796007,80.5634718366239,1.61565534114207e-07,2.18702120674596e-05
"AMOTL2",1.36958868045952,3.80875695026189,80.2289002844523,1.6599502862935e-07,2.22969629994285e-05
"MYOM1",-1.90995580551838,1.58399157557168,80.0368595657193,1.68844503239043e-07,2.25065856149631e-05
"NR3C1",-1.01138467421976,3.70332497063437,79.1072484927125,1.81992571193448e-07,2.40754111983332e-05
"TUBA4B",-1.18765282860036,3.12376998359056,78.9450246068445,1.84461028477619e-07,2.42184848065878e-05
"KLHL32",-1.01834705949112,5.98182445781413,78.1826574927279,1.96487148667954e-07,2.56049148510433e-05
"WNT5A",-1.15094717226796,3.61543043877197,77.8239340438011,2.02474603706968e-07,2.61897150365265e-05
"ARHGAP42",-0.921470516807559,5.43175756345165,77.4136927394781,2.0954980450148e-07,2.69055785750356e-05
"EPHB1",3.04716211534237,0.932245927330265,77.3696169314844,2.15759575241033e-07,2.75006839624738e-05
"ZDHHC23",1.01202841781955,4.81827472726385,76.306042264956,2.30127174576874e-07,2.91194255250824e-05
"FAM135B",-1.41040956502297,2.71988817909921,76.0778680145394,2.34691569558657e-07,2.9483339479376e-05
"LDB3",-2.18432436412877,1.01909269944519,75.763029783931,2.42270938058081e-07,3.01318499823516e-05
"THSD7B",-1.21875697273587,3.12743976587989,75.655306337169,2.43304939154253e-07,3.01318499823516e-05
"RASGRF2",1.1354874133517,6.1160882067745,75.1027866840015,2.55108009140163e-07,3.13710989831375e-05
"ABAT",-1.03078157551354,4.14553183002848,74.7281252351307,2.63511745096062e-07,3.21779167333387e-05
"SEC24D",-0.853018009694051,5.12015637264195,74.3705343356157,2.71806037820143e-07,3.27433179621101e-05
"MSX2",3.896652843925,0.488901112571824,73.7039145369812,2.71892171830602e-07,3.27433179621101e-05
"KATNB1",-0.960510253506148,5.19653396230465,74.2238529823007,2.75297256131822e-07,3.29249408639163e-05
"EIF2AK3",-0.985804449777805,3.82619277417204,74.1464635807835,2.77171361069505e-07,3.29249408639163e-05
"SYNPO",-1.64328879375891,1.91236541661394,74.0165546636013,2.80501496946624e-07,3.3095386078932e-05
"GMPR",-0.904499646265975,4.4732587284134,72.8440708455134,3.10743326949378e-07,3.64174494979198e-05
"RBM24",-1.18299345813659,3.44980614328578,72.5604952446859,3.18671816160201e-07,3.70976483585963e-05
"COL27A1",-1.12669428785308,3.2541891572621,72.4799431247051,3.20965791953253e-07,3.71172493979318e-05
"DDC",2.24054258435549,0.736707517695002,72.3764222083576,3.27275619622099e-07,3.75979399331651e-05
"MYBPHL",-0.9238344493401,4.56238559170703,71.9449459768711,3.36608047177076e-07,3.84173184301052e-05
"OSGEP",-0.761349336474828,6.73339450657455,71.5226643306014,3.49583773807007e-07,3.96391679105063e-05
"DHRS7",-0.794358395516059,6.32961514950604,71.2557441669549,3.58080341438276e-07,4.03406382077108e-05
"RGS4",3.31685356561,0.25340306844907,71.0371465227633,3.65898363594357e-07,4.09571616992606e-05
"GACAT2",2.15079920509008,0.939606526031927,70.5945610381684,3.82328332518348e-07,4.25236773403529e-05
"DDR1",1.32709871058441,2.67654348845677,70.4252090842308,3.86125853675176e-07,4.26742383346578e-05
"SCN3B",0.908345676584285,4.79952157382788,70.2126149833274,3.93599346092318e-07,4.32266149777614e-05
"KLF13",-0.927099828668223,6.41814156894756,69.7516696393774,4.10547577935019e-07,4.48061362868831e-05
"KLHL40",-2.11062550535404,1.72076654797953,69.4897589850303,4.21091195231645e-07,4.56713941064285e-05
"GPRC5A",1.07849854536756,3.26208742284482,69.2052281530628,4.31762391649079e-07,4.65397214998531e-05
"LYRM1",0.800214071596008,6.78676052820152,68.5964007736253,4.56774669677434e-07,4.87309488706283e-05
"RP5-1007F24.1",2.5044705256593,1.07591484739699,68.627674984474,4.5889656570706e-07,4.87309488706283e-05
"ARHGAP32",1.00760149433828,4.98670411690385,68.510009110062,4.60463094929199e-07,4.87309488706283e-05
"UNC119",-0.833355388112818,7.72215092388289,68.0976334765862,4.78528705360385e-07,5.03221401962968e-05
"SMO",2.30396748079015,0.831764408403545,68.1329050336872,4.81262021119091e-07,5.03221401962968e-05
"ADCYAP1R1",1.66866234881226,1.829462146307,67.4578569093962,5.08540025120836e-07,5.28578923729764e-05
"LRRC16A",-0.91295340636797,4.87429140413943,67.3348303839688,5.14103617758118e-07,5.29788482373494e-05
"RAB41",-0.954333278475299,4.70600231720982,67.2847165471921,5.16547943690846e-07,5.29788482373494e-05
"MOCS1",-0.89257393123536,5.15447626839733,67.2384686705863,5.18805580608564e-07,5.29788482373494e-05
"SLC9A3",2.52177262790818,1.22993284908232,67.0123744632652,5.32931047544346e-07,5.41048950710428e-05
"DUSP4",-0.933439920910257,4.95031413602699,66.3875212279717,5.6251196432637e-07,5.67779417402721e-05
"ADAMTS14",-2.59475040075878,0.846315151216442,66.419017656849,5.67925154626088e-07,5.69948795981653e-05
"TGM2",-1.30177497039911,2.56499984756883,66.2150538581415,5.71984689985199e-07,5.70742666086945e-05
"CHRNA5",-0.744561457495444,5.71441744024452,66.0080861870891,5.83328563934889e-07,5.78754737694945e-05
"AC004540.5",1.12219099307376,3.19232934024578,65.792362837821,5.95612357122972e-07,5.85178647679493e-05
"SGPP2",-1.88324974943694,1.3695404338794,65.7929045772496,5.96505550835814e-07,5.85178647679493e-05
"TTN",0.983671936542355,9.63653721327048,65.7090014010872,6.00351930782682e-07,5.85661755046212e-05
"MYH3",-0.839805773663381,5.2352180532428,65.2517793547149,6.27475075798417e-07,6.08720542977331e-05
"LAMC2",-1.99035800505518,0.992827770262176,65.0300086074621,6.4345309886923e-07,6.20772265881463e-05
"KAZALD1",1.62372576846269,1.66585478271589,64.5291388699979,6.7378549270305e-07,6.46463861185751e-05
"PPP1R16B",-0.970409898102127,4.58939755876024,64.3555459451597,6.84760653873462e-07,6.53403854532153e-05
"FGFR3",3.27481042119669,0.428126566325333,64.4956406330096,6.91866600051294e-07,6.5659644402694e-05
"LRIG1",-0.905558528203345,6.97704942899705,64.0925121955465,7.0266638967288e-07,6.6324110791718e-05
"ST3GAL1",-1.22819834596395,2.61709917563616,63.8955672475453,7.16558443207795e-07,6.72717394370673e-05
"BRINP1",-0.846207350659037,5.21197819952632,63.4799241553506,7.46481649092365e-07,6.97062168794165e-05
"LFNG",-0.96435242948594,3.46893210658742,63.326261611115,7.58000784682077e-07,7.04053707559491e-05
"SPSB1",1.31308244206761,2.40614006924304,62.4428733887828,8.28085361752567e-07,7.65080771794885e-05
"PLXNC1",1.53175801483886,1.89383987975292,62.3468039573348,8.3638226096675e-07,7.68679317947441e-05
"NHLH1",-1.13488069809798,2.61878671832951,62.152890478812,8.52542520188089e-07,7.79429187828504e-05
"C15orf59",-0.939938749284462,3.80980602851828,62.0202168091338,8.63923367099545e-07,7.85720303973555e-05
"TMEM14A",0.795771200860172,4.70735637217558,61.5796768955956,9.03327556003691e-07,8.17300817768728e-05
"RP11-672L10.2",-2.55165572972036,0.30716483144302,61.6962532934552,9.15722521649269e-07,8.24244673868017e-05
"PDE6B",0.949004680627857,4.69554745494332,60.9097132217,9.67259965143059e-07,8.66168898016825e-05
"DPYSL3",-1.08645728739865,5.95026460961029,60.4588313050954,1.01315833432399e-06,9.02641369079869e-05
"LGALS3BP",-1.20907070891852,3.31255280987781,60.1666060388808,1.04430772281825e-06,9.25325126683382e-05
"SMYD1",-1.08907974845106,3.91306467698161,60.1208882995166,1.04921758723691e-06,9.25325126683382e-05
"CAMK2B",-0.912032053542989,3.46988403508576,59.936298480306,1.06953180153609e-06,9.3850071951875e-05
"HFE2",-1.38086860066341,2.76201117308046,59.7025563832478,1.09596750441227e-06,9.56889228102351e-05
"SIX1",0.847456611141099,6.46931668704754,59.5328608939718,1.1153587075743e-06,9.68974813515546e-05
"GDAP1L1",1.6383924386963,1.3688967991322,59.4007455346776,1.13229411969993e-06,9.74232443552889e-05
"MYL5",-1.09897900359073,2.64809850501717,59.3878908547426,1.13256892704866e-06,9.74232443552889e-05
"MED9",-0.746535764980111,6.12060378664188,59.065275372628,1.17136034899939e-06,0.000100266149089349
"PARVA",-0.925400136448958,3.81720389708132,58.8322933807814,1.20048978037351e-06,0.000101388689160311
"TPM2",-0.815997045567921,5.97124152964081,58.8255596794051,1.20129808490899e-06,0.000101388689160311
"SLA",-1.09061059483354,4.03316753617224,58.7812151450505,1.20697130395126e-06,0.000101388689160311
"RSPO2",2.00283389857909,1.51832251985196,58.7841962907048,1.20828511137152e-06,0.000101388689160311
"IGFBP5",1.13774242240116,3.3185506327111,58.7304935594096,1.21350567142967e-06,0.000101388689160311
"EPHA4",-0.94165291674496,4.30496782788257,58.6776988714915,1.22022143231739e-06,0.000101464317386316
"ARHGAP36",-0.829381096152501,4.0552639824894,58.2936233526916,1.27090914285765e-06,0.00010517827228711
"LARGE",-0.921093326645599,3.89895490715002,57.6376725754543,1.36305953926937e-06,0.000112272385258122
"PKM",0.941267201963407,9.81079983999599,57.4977499536539,1.38362983380949e-06,0.000113431662713527
"GALNT18",-0.841337500695762,4.4612880092624,57.2863438420765,1.41547277898162e-06,0.000115499933021388
"NAV1",0.81377803622665,5.31327005328655,57.0940864117111,1.44511767431989e-06,0.000117370441064995
"KLHL13",1.14912900511088,2.66616910194324,56.8777446769705,1.47957110613794e-06,0.000119612364145281
"HMP19",0.768441468239914,6.19488106811282,56.6230644648639,1.52079845964033e-06,0.000122378722130136
"CCDC88B",-1.0805636548978,3.27360124478087,56.5681202086411,1.53004273450094e-06,0.000122557826742456
"PPAPDC1A",1.36232103520775,2.03471799235156,56.508224033592,1.54051564620982e-06,0.00012283326125167
"DISC1",-1.11774137585316,2.67796998616771,56.4089170982974,1.55691070943671e-06,0.000123576249128109
"FAM57B",-1.0076397535417,2.98547855419207,56.2635103623479,1.58175179658936e-06,0.000124979863674405
"SLC8A1",0.725059974425031,5.56365203618004,56.1981667473952,1.59293186794719e-06,0.000125101245363431
"ARHGEF9",-0.708716945665459,7.48861860529205,56.1713162298425,1.59761640797418e-06,0.000125101245363431
"DNASE2",0.78874793011748,4.84721226679792,56.0286975835409,1.62277783372361e-06,0.000125964464369461
"CHST8",-1.02870718975204,3.45878513147553,56.0276187265644,1.6230674884394e-06,0.000125964464369461
"PARM1",-0.932466333454393,3.73110653138528,55.7768748535709,1.6683538036891e-06,0.000128906168672651
"NOS2",-1.02650563744963,7.603824367841,55.6370663058105,1.69418268727762e-06,0.000130076354928664
"CAPS",1.44396522904199,1.53277702382406,55.6216867671083,1.69839702919112e-06,0.000130076354928664
"RP11-299L17.3",-1.54552414409543,1.39244153809296,55.3976709180372,1.74133224985646e-06,0.000132452587170314
"PKDCC",-0.771924489170967,5.30218982332276,55.3716865953894,1.74459369196954e-06,0.000132452587170314
"PSTPIP1",-1.71890462443472,1.22832515014468,55.0429659255847,1.81214730954564e-06,0.000136985784931974
"INHBE",-0.779506691032904,4.75497676814137,54.8925713831084,1.83995618470953e-06,0.000138488426281887
"SRPK3",-1.41614832429064,1.59744096301857,54.7839167254949,1.86362461220381e-06,0.000139667866859669
"BMP7",0.911110375476383,4.50605273977377,54.5409864339762,1.91371248854713e-06,0.000142808749893205
"SPAG1",-1.09608696686291,3.27186621648187,54.3233207466053,1.96115150808953e-06,0.000145162487604624
"GRIN2A",-0.964644383489781,3.97671601140219,54.3195777230603,1.96187991494052e-06,0.000145162487604624
"NFASC",0.771057785727099,5.68190123629642,54.2267923638253,1.98239820145928e-06,0.00014606176115562
"ABHD15",-0.772973329973112,5.08464629515435,54.118759831378,2.00667085573681e-06,0.000147228934802001
"ID2-AS1",2.50726366127769,0.6645726424571,53.7273508080006,2.12831749632188e-06,0.0001555007536434
"PPP1R12B",-0.717695386677676,6.13464328187982,53.3117180788948,2.19897488298834e-06,0.000159993747528093
"NANOS1",-0.816178635271863,5.79247204695918,53.2345609235677,2.21842702203449e-06,0.000160739305638034
"FSCN1",-0.817665227701284,6.26155632956537,53.1194273682653,2.24781372654878e-06,0.000161649145144562
"NEURL1",-0.981185478241502,3.0908379174247,53.1136601677427,2.24949846925487e-06,0.000161649145144562
"ASCL1",-0.968861874961632,3.10747290853394,52.9985477598216,2.27934277142471e-06,0.000163122473256632
"NRP1",1.43653517385187,2.04730238276208,52.9018210562436,2.30544393346398e-06,0.000163775403757248
"NLRP1",1.57681958351772,1.22094986478058,52.9034251553314,2.30722421969321e-06,0.000163775403757248
"ENG",4.67381350167746,-0.623329347356239,44.3712275732744,2.33604420473875e-06,0.000165149813373069
"SLC7A14",-0.819480462097181,3.76511198816352,52.4589049930717,2.42524010114222e-06,0.00017076428486349
"KIF7",1.70173384363634,0.917938974722387,52.1647797757176,2.51550488180282e-06,0.000176408619462011
"KIAA1841",0.819926594412807,4.06162192200594,52.0326085059331,2.54807071056657e-06,0.000177977642991654
"CPLX4",-0.749790491373153,5.0789949140295,51.871361832886,2.59628741543544e-06,0.000180622991427624
"PTPN14",-0.989786060870251,2.95312818068636,51.8223314694644,2.61142351533053e-06,0.000180955069145642
"ESPN",-1.1296504022897,2.47119755671378,51.7706981018086,2.62740631392292e-06,0.000181342960686648
"RP11-80P20.3",-2.74046927763741,-0.0965561963514036,51.8129150486967,2.65497435248728e-06,0.000182524260406035
"COL28A1",2.36450144412487,0.185827440482837,51.8358931663476,2.67134987494247e-06,0.000182929849083315
"NOS1",-1.57038186868233,1.95253492812083,51.5502195761574,2.69676853715745e-06,0.000183638683010522
"DYNC2H1",0.73235955014288,4.62817856860888,51.5275705035069,2.7027340243789e-06,0.000183638683010522
"HPCA",-0.845363217242888,5.33958883605372,51.4195890669747,2.73716957592622e-06,0.000185257578041952
"INSM2",-0.787054755055533,6.88953306941526,51.2698367300608,2.78575624967191e-06,0.00018781805263232
"ABCA5",-0.658805729413073,5.75006325154218,50.5528714535456,3.03232422602296e-06,0.000203655560133896
"GATA5",5.7429929626807,-0.40660326125134,45.338964417219,3.10581956115476e-06,0.000207792418302239
"TRNP1",2.27966436065549,0.372576911874545,50.289916747012,3.18236751312015e-06,0.000212101150817191
"SLC1A7",0.800169311724729,5.36745610996042,50.0659784861457,3.21382761804924e-06,0.00021338348998622
"ANKRD65",-0.722518790297348,4.23902311949671,50.0318177022942,3.22705476359126e-06,0.000213450114703904
