"","logFC","logCPM","F","PValue","FDR"
"SMAD6",8.01467338647366,2.9480432486614,674.57134631828,1.17536369920579e-15,7.01872702193444e-12
"KCNJ5",6.49306280436705,3.94832743336596,1073.01815756995,1.21671240425996e-15,7.01872702193444e-12
"SAMD11",6.04985175167314,4.79713646243382,1046.2751893793,1.34039180638795e-15,7.01872702193444e-12
"ID3",4.37430507381764,5.4992620615393,1020.18996023795,1.60777162339582e-15,7.01872702193444e-12
"ID1",4.23621534562202,5.47022123105771,835.487347795734,7.33202248088691e-15,2.56063553122494e-11
"ID2",3.330014075884,5.27133817788067,758.614296639864,1.52354186195548e-14,4.43401466557778e-11
"PRPH",3.5262948419021,4.50740287989379,676.024764725889,3.64438351511229e-14,9.09117499155584e-11
"FREM2",4.96031930103883,3.64569609657397,655.764113173293,4.63442186902172e-14,1.01157843346072e-10
"PKD2L1",-3.61383623376083,3.62836216668626,585.874671216692,1.07382688819e-13,2.08346279128598e-10
"SMAD9",3.63261127268723,5.4631251962994,554.772968800131,1.61672557703925e-13,2.82312620262594e-10
"NOG",3.97708732632037,3.08173076974869,518.709528792371,2.69308395401172e-13,4.27514836408661e-10
"C14orf132",2.83506922164929,5.46472533397378,496.995169302625,3.69218446353408e-13,5.37274375851934e-10
"DLX6-AS1",2.19883666700882,5.43149665159162,392.465832892611,2.15498574040342e-12,2.89464315376342e-09
"BAMBI",3.28123740131933,3.11555395237001,322.43127266407,9.2702057189788e-12,1.1562595161772e-08
"DIAPH2-AS1",-1.73632157919368,6.15793689387044,307.054280715167,1.32712720023465e-11,1.5449530113665e-08
"RP11-54O7.3",7.56939553559996,1.2528891603565,226.718251210563,2.043685249706e-11,2.23042698939788e-08
"GNRH1",2.67714274999438,2.90266695726167,263.675284607946,4.06504520405175e-11,4.10494495171374e-08
"MYLPF",-1.62789769195455,4.91104257848666,262.196062119098,4.23141731364376e-11,4.10494495171374e-08
"FAM178A",1.6351559404967,7.53028343091071,255.241975170008,5.14970910884288e-11,4.50468262224519e-08
"KANK4",3.18618258775714,2.75402639787202,255.255602589381,5.15941200577848e-11,4.50468262224519e-08
"NNAT",1.65372631792749,10.1281665408683,250.558411991957,5.89505703960201e-11,4.90188028693001e-08
"BDKRB2",5.53336932484099,2.13884923929137,243.693091349593,6.91295137464079e-11,5.48699804108988e-08
"FGFR2",1.78300684867528,5.50017200914184,239.077130782632,8.29676229307127e-11,6.29904622441785e-08
"ESYT3",-1.64877705475393,4.29694333488022,234.938283803986,9.4210112469769e-11,6.69965438233302e-08
"KCNA1",-2.25592729952119,3.35837441751021,234.36638338108,9.59176265939328e-11,6.69965438233302e-08
"DOK6",2.73212702778039,2.58439607288274,232.247247308397,1.02594317919197e-10,6.89039222886545e-08
"GRP",4.66981579491065,1.31858202110259,224.307376644243,1.26325770759604e-10,8.17000225557116e-08
"TNNT2",-1.55296518082653,5.37741638337853,221.313939183023,1.45319054210927e-10,9.06271901653999e-08
"ST7",-2.3569186522413,3.22616434202124,215.304299252706,1.77435040789072e-10,1.06840368353751e-07
"DLK1",2.45031049827886,3.53126245524066,201.744448639568,2.83680460405028e-10,1.6512093998642e-07
"AC063980.3",-3.71327504111093,1.42191652544966,200.117202930967,3.1438305080067e-10,1.68827173204075e-07
"MDGA1",-1.58034694865246,5.14611406798271,198.782189987237,3.15452985631599e-10,1.68827173204075e-07
"ZDHHC22",-2.11256499174386,3.53980875311499,198.474236150434,3.19052612285791e-10,1.68827173204075e-07
"ADCYAP1",-2.27799751151757,2.66931830220826,196.020669463499,3.49100776311602e-10,1.79294051645682e-07
"GPRC5B",1.45101556057784,5.51008095171452,190.745355484934,4.24296211447454e-10,2.11687441265584e-07
"PGF",1.48152063757924,4.69071197110186,186.520636909559,4.98202373941655e-10,2.31907413829821e-07
"CDH11",1.95998422075121,3.67113020355423,186.368106665028,5.01184533916856e-10,2.31907413829821e-07
"HSD17B2",-1.54829049027799,4.40840826641659,186.185380090196,5.04666230989188e-10,2.31907413829821e-07
"CFAP57",-1.98715872487377,2.72471899325505,181.827999676154,5.9812637182945e-10,2.67807248843227e-07
"TNNI1",-1.60501529100169,6.46126677870482,176.104345138066,7.51151572832894e-10,3.279152191202e-07
"CTD-2228K2.7",2.70477120856535,2.32902580469172,174.915721154002,7.89822673924035e-10,3.3141813357095e-07
"PPAP2C",-1.60983523531175,3.61419168017786,174.64574727945,7.97134441070892e-10,3.3141813357095e-07
"SDK2",1.79364458627462,5.8401717632133,168.688076487112,1.02036598581161e-09,4.07041980045726e-07
"MYO5B",1.57194518444799,3.89615576429812,168.412190922176,1.03240117370064e-09,4.07041980045726e-07
"HAND1",4.89635595280838,0.354445634242879,143.246433828398,1.04895711270517e-09,4.07041980045726e-07
"CLU",-1.48646113370246,3.92289304796703,167.247341824158,1.08457331387177e-09,4.11713461018017e-07
"ST6GALNAC5",-1.20074497878954,6.71366357754274,165.89788389113,1.14868945470214e-09,4.26774792723592e-07
"NEUROG1",2.15158488654765,3.77578666303118,164.317589726055,1.22960761201753e-09,4.38291419664331e-07
"RNF182",1.51914430528609,6.09106277789556,164.308600729744,1.22988658593244e-09,4.38291419664331e-07
"MPPED2",1.43321954558705,3.96121030649692,160.163187399407,1.47409630090333e-09,5.14813392127478e-07
"SGIP1",-1.18815903837546,5.71026355514878,157.676611919499,1.64648309086759e-09,5.63742896720194e-07
"CCDC74B",4.4303811177664,0.967559496740165,150.018493981153,2.13999908863403e-09,7.18628155494758e-07
"SMAD7",1.65782323864356,3.1529833514459,151.27507762162,2.20630440201888e-09,7.26914857887805e-07
"TUBA3FP",1.66598505029009,2.99433626888994,148.617841581069,2.49954092965205e-09,8.08277476177482e-07
"FZD7",1.54399238838365,4.43998527567976,140.835107036068,3.64455363587228e-09,1.15711264708367e-06
"CRIP2",3.08467820705154,1.85328865081366,137.562148190369,4.32312390964519e-09,1.34804267339686e-06
"CNTNAP2",1.2996899174227,4.84175844114454,136.836251837051,4.45718235171751e-09,1.36546172325774e-06
"TNNC2",-1.45231658602698,4.32060783717814,132.253165269992,5.65158891054917e-09,1.70151802682775e-06
"UNC45B",-1.51161902066784,3.5827390548305,131.054204240718,6.02135549015894e-09,1.78211711134162e-06
"LINC01363",-3.45445412900974,1.13131928616852,130.628738094191,6.39969069542759e-09,1.85171379672575e-06
"PLAC1",-2.01032384386437,2.19770132301436,129.724423443844,6.46859131830667e-09,1.85171379672575e-06
"KLHL41",-1.36061523209809,7.30429062421605,128.347899256643,6.95935863705202e-09,1.96006968580971e-06
"FBN2",1.64126858195018,2.93563119660852,126.942912446328,7.51326127034455e-09,2.08248521115486e-06
