NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
ACTOMYOSIN STRUCTURE ORGANIZATION%GOBP%GO:0031032	ACTOMYOSIN STRUCTURE ORGANIZATION%GOBP%GO:0031032	Details ...	87	-0.58911884	-1.7937636	0.0	0.8437548	0.554	2742	tags=43%, list=16%, signal=50%	
LKB1 SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%LKB1 SIGNALING EVENTS	LKB1 SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%LKB1 SIGNALING EVENTS	Details ...	41	-0.6540595	-1.7794163	0.0	0.5813258	0.662	3552	tags=51%, list=20%, signal=64%	
MONOSACCHARIDE BIOSYNTHETIC PROCESS%GOBP%GO:0046364	MONOSACCHARIDE BIOSYNTHETIC PROCESS%GOBP%GO:0046364	Details ...	27	-0.6949878	-1.7656664	0.0013623978	0.5024883	0.755	3694	tags=70%, list=21%, signal=89%	
REGULATION OF MEMBRANE PROTEIN ECTODOMAIN PROTEOLYSIS%GOBP%GO:0051043	REGULATION OF MEMBRANE PROTEIN ECTODOMAIN PROTEOLYSIS%GOBP%GO:0051043	Details ...	18	-0.7588683	-1.7648928	0.0	0.38226947	0.761	2074	tags=56%, list=12%, signal=63%	
HALLMARK_MYC_TARGETS_V2%MSIGDBHALLMARK%HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2%MSIGDBHALLMARK%HALLMARK_MYC_TARGETS_V2	Details ...	47	-0.6329458	-1.7580513	0.0	0.3555381	0.813	2833	tags=49%, list=16%, signal=58%	
P38 SIGNALING MEDIATED BY MAPKAP KINASES%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%P38 SIGNALING MEDIATED BY MAPKAP KINASES	P38 SIGNALING MEDIATED BY MAPKAP KINASES%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%P38 SIGNALING MEDIATED BY MAPKAP KINASES	Details ...	18	-0.75289136	-1.752518	0.0	0.32751906	0.845	2069	tags=50%, list=12%, signal=57%	
REGULATION OF CYTOKINE-MEDIATED SIGNALING PATHWAY%GOBP%GO:0001959	REGULATION OF CYTOKINE-MEDIATED SIGNALING PATHWAY%GOBP%GO:0001959	Details ...	98	-0.5706338	-1.7482289	0.0	0.30472675	0.865	2685	tags=34%, list=15%, signal=40%	
METABOLIC EPILEPTIC DISORDERS%WIKIPATHWAYS_20250810%WP5355%HOMO SAPIENS	METABOLIC EPILEPTIC DISORDERS%WIKIPATHWAYS_20250810%WP5355%HOMO SAPIENS	Details ...	58	-0.61020076	-1.7469754	0.0	0.27309558	0.871	3545	tags=50%, list=20%, signal=63%	
HEXOSE BIOSYNTHETIC PROCESS%GOBP%GO:0019319	HEXOSE BIOSYNTHETIC PROCESS%GOBP%GO:0019319	Details ...	26	-0.692349	-1.7466174	0.0	0.24358991	0.871	3694	tags=69%, list=21%, signal=88%	
NEGATIVE REGULATION OF MACROAUTOPHAGY%GOBP%GO:0016242	NEGATIVE REGULATION OF MACROAUTOPHAGY%GOBP%GO:0016242	Details ...	27	-0.68939674	-1.7420862	0.0	0.23939487	0.886	2416	tags=44%, list=14%, signal=52%	
PID_MTOR_4PATHWAY%MSIGDB_C2%PID_MTOR_4PATHWAY	PID_MTOR_4PATHWAY%MSIGDB_C2%PID_MTOR_4PATHWAY	Details ...	56	-0.60534394	-1.7368251	0.0024630541	0.23948951	0.904	4309	tags=52%, list=25%, signal=69%	
MEMBRANE RAFT ORGANIZATION%GOBP%GO:0031579	MEMBRANE RAFT ORGANIZATION%GOBP%GO:0031579	Details ...	16	-0.76272285	-1.7322464	0.0	0.23892583	0.923	3409	tags=44%, list=20%, signal=54%	
REGULATION OF ATP-DEPENDENT ACTIVITY%GOBP%GO:0043462	REGULATION OF ATP-DEPENDENT ACTIVITY%GOBP%GO:0043462	Details ...	26	-0.69246495	-1.7296828	0.0	0.23139639	0.931	1866	tags=31%, list=11%, signal=34%	
POSITIVE REGULATION OF ACTIN FILAMENT POLYMERIZATION%GOBP%GO:0030838	POSITIVE REGULATION OF ACTIN FILAMENT POLYMERIZATION%GOBP%GO:0030838	Details ...	25	-0.6909359	-1.7233188	0.0	0.24008062	0.945	2875	tags=56%, list=16%, signal=67%	
CELL CYCLE G2/M PHASE TRANSITION%GOBP%GO:0044839	CELL CYCLE G2/M PHASE TRANSITION%GOBP%GO:0044839	Details ...	42	-0.6276818	-1.722536	0.0	0.2268747	0.95	3502	tags=50%, list=20%, signal=62%	
PYRIDINE-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0072524	PYRIDINE-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0072524	Details ...	82	-0.56762373	-1.7198045	0.0	0.22496063	0.959	3656	tags=52%, list=21%, signal=66%	
